"date","LocalityName","SpeciesName","sp_correct_name","LFMC"
1998-03-25,"Badalona","Cistus monspeliensis","Cistus monspeliensis",124.137931034483
1998-03-25,"Badalona","Quercus coccifera","Quercus coccifera",69.3897637795276
1998-04-08,"Badalona","Cistus monspeliensis","Cistus monspeliensis",127.669345579793
1998-04-08,"Badalona","Quercus coccifera","Quercus coccifera",130.769230769231
1998-04-22,"Badalona","Quercus coccifera","Quercus coccifera",96.5248962655601
1998-05-12,"Badalona","Quercus coccifera","Quercus coccifera",74.6543778801843
1998-07-15,"Badalona","Cistus monspeliensis","Cistus monspeliensis",61.9144602851324
1998-07-15,"Badalona","Quercus coccifera","Quercus coccifera",71.326164874552
1998-07-29,"Badalona","Cistus monspeliensis","Cistus monspeliensis",54.2190305206463
1998-07-29,"Badalona","Quercus coccifera","Quercus coccifera",69.701726844584
1998-08-12,"Badalona","Cistus monspeliensis","Cistus monspeliensis",69.9404761904762
1998-08-12,"Badalona","Quercus coccifera","Quercus coccifera",72.568578553616
1999-09-14,"Badalona","Cistus monspeliensis","Cistus monspeliensis",98.2155113246397
1999-09-14,"Badalona","Quercus coccifera","Quercus coccifera",71.6162943495401
1999-11-17,"Badalona","Cistus monspeliensis","Cistus monspeliensis",62.5478927203065
1999-11-17,"Badalona","Quercus coccifera","Quercus coccifera",87.0531400966184
2000-01-12,"Badalona","Cistus monspeliensis","Cistus monspeliensis",147.410358565737
2000-01-12,"Badalona","Quercus coccifera","Quercus coccifera",82.3137492428831
2000-02-16,"Badalona","Cistus monspeliensis","Cistus monspeliensis",139.698492462312
2000-02-16,"Badalona","Quercus coccifera","Quercus coccifera",71.7884130982368
2000-04-27,"Badalona","Cistus monspeliensis","Cistus monspeliensis",147.050037341299
2000-04-27,"Badalona","Quercus coccifera","Quercus coccifera",74.3066884176183
2000-06-21,"Badalona","Cistus monspeliensis","Cistus monspeliensis",88.3981542518128
2000-06-21,"Badalona","Quercus coccifera","Quercus coccifera",80.5671392827356
