Date,Site,Species,sp_correct_name,Plot,Height,Cover
20/02/2020,Camarasa,Quercus coccifera,Quercus coccifera,1,40,113.3333333
20/02/2020,Camarasa,Salvia rosmarinus,Rosmarinus officinalis,1,30,78.33333333
20/02/2020,Camarasa,Rhamnus alaternus,Rhamnus alaternus,1,0.266666667,110
20/02/2020,Camarasa,Phillyrea latifolia,Phillyrea latifolia,1,0.3,56.66666667
20/02/2020,Camarasa,Genista scorpius,Genista scorpius,1,0.916666667,66.66666667
20/02/2020,Tora,Quercus ilex,Quercus ilex,1,1.69,160
20/02/2020,Tora,Quercus coccifera,Quercus coccifera,1,2,70
20/02/2020,Tora,Salvia rosmarinus,Rosmarinus officinalis,1,18,61.66666667
20/02/2020,Tora,Genista scorpius,Genista scorpius,1,12.5,50
20/02/2020,Tora,Dorycnium pentaphyllum,Dorycnium pentaphyllum,1,1.5,37.5
20/02/2020,Tora,Helichrysum stoechas,Helichrysum stoechas,1,2,20
20/02/2020,Tora,Thymelaea tinctoria,Thymelaea spp.,1,0.5,40
20/02/2020,Tora,Helianthemum nummularium,Helianthemum spp.,1,0.5,10
20/02/2020,Tora,Thymus vulgaris,Thymus spp.,1,0.5,15
20/02/2020,Tora,Coronilla minima,Coronilla spp.,1,1,40
20/02/2020,Tora,Pinus halepensis,Pinus halepensis,1,1,150
20/02/2020,El Bruc,Quercus ilex,Quercus ilex,1,2.375,180
20/02/2020,El Bruc,Quercus coccifera,Quercus coccifera,1,3.333333333,120
20/02/2020,El Bruc,Salvia rosmarinus,Rosmarinus officinalis,1,37.5,90
20/02/2020,El Bruc,Cistus albidus,Cistus albidus,1,0.5,60
20/02/2020,El Bruc,Juniperus oxycedrus,Juniperus oxycedrus,1,4.5,180
20/02/2020,El Bruc,Arbutus unedo,Arbutus unedo,1,2.75,120
20/02/2020,El Bruc,Erica multiflora,Erica multiflora,1,28.33333333,95
20/02/2020,El Bruc,Genista scorpius,Genista scorpius,1,1,70
27/02/2020,Port de la selva,Pinus halepensis,Pinus halepensis,2,27.5,600
27/02/2020,Port de la selva,Salvia rosmarinus,Rosmarinus officinalis,1,50,100
27/02/2020,Port de la selva,Salvia rosmarinus,Rosmarinus officinalis,2,11.5,95
27/02/2020,Port de la selva,Erica arborea,Erica arborea,1,9.5,140
27/02/2020,Port de la selva,Erica arborea,Erica arborea,2,10,150
