"Date","Code_Site.x","Placette","sp_category","sp","cov_category","coverage","height_category","height","cov_0_50_category","coverage_0_50","cov_50_100_category","coverage_50_100","cov_100_200_category","coverage_100_200","height_0_50_category","height_0_50","height_50_100_category","height_50_100","height_100_200_category","height_100_200"
2016-05-18,"D04S1",1,"esp1_arbore","Pin d'Alep","taux_esp1_arbore","15","ht_toit_esp1_arbore","950",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016-05-18,"D04S1",1,"esp2_arbore",NA,"taux_esp2_arbore",NA,"ht_toit_esp2_arbore",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016-05-18,"D04S1",1,"esp3_arbore",NA,"taux_esp3_arbore",NA,"ht_toit_esp3_arbore",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016-05-18,"D04S1",1,"esp1_arbustif","Romarin","taux_esp1_arbustif","30",NA,NA,"taux_0_50_esp1_arbustif","5","taux_50_100_esp1_arbustif","90","taux_100_200_esp1_arbustif","5","ht_toit_0_50_esp1_arbustif","40","ht_toit_50_100_esp1_arbustif","90","ht_toit_100_200_esp1_arbustif","130"
2016-05-18,"D04S1",1,"esp2_arbustif","Genet cendre","taux_esp2_arbustif","20",NA,NA,"taux_0_50_esp2_arbustif","20","taux_50_100_esp2_arbustif","30","taux_100_200_esp2_arbustif","50","ht_toit_0_50_esp2_arbustif","40","ht_toit_50_100_esp2_arbustif","80","ht_toit_100_200_esp2_arbustif","140"
2016-05-18,"D04S1",1,"esp3_arbustif",NA,"taux_esp3_arbustif",NA,NA,NA,"taux_0_50_esp3_arbustif",NA,"taux_50_100_esp3_arbustif",NA,"taux_100_200_esp3_arbustif",NA,"ht_toit_0_50_esp3_arbustif",NA,"ht_toit_50_100_esp3_arbustif",NA,"ht_toit_100_200_esp3_arbustif",NA
2016-05-18,"D04S1",1,"esp_hyd_arbustif",NA,"taux_esp_hyd_arbustif",NA,NA,NA,"taux_0_50_esp_hyd_arbustif",NA,"taux_50_100_esp_hyd_arbustif",NA,"taux_100_200_esp_hyd_arbustif",NA,"ht_toit_0_50_esp_hyd_arbustif",NA,"ht_toit_50_100_esp_hyd_arbustif",NA,"ht_toit_100_200_esp_hyd_arbustif",NA
2016-05-18,"D04S2",1,"esp1_arbore",NA,"taux_esp1_arbore",NA,"ht_toit_esp1_arbore",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016-05-18,"D04S2",1,"esp2_arbore",NA,"taux_esp2_arbore",NA,"ht_toit_esp2_arbore",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016-05-18,"D04S2",1,"esp3_arbore",NA,"taux_esp3_arbore",NA,"ht_toit_esp3_arbore",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016-05-18,"D04S2",1,"esp1_arbustif","Buis","taux_esp1_arbustif","40",NA,NA,"taux_0_50_esp1_arbustif","0","taux_50_100_esp1_arbustif","25","taux_100_200_esp1_arbustif","70","ht_toit_0_50_esp1_arbustif",NA,"ht_toit_50_100_esp1_arbustif","100","ht_toit_100_200_esp1_arbustif","140"
2016-05-18,"D04S2",1,"esp2_arbustif","Genet cendre","taux_esp2_arbustif","30",NA,NA,"taux_0_50_esp2_arbustif","0","taux_50_100_esp2_arbustif","90","taux_100_200_esp2_arbustif","10","ht_toit_0_50_esp2_arbustif",NA,"ht_toit_50_100_esp2_arbustif","80","ht_toit_100_200_esp2_arbustif","130"
2016-05-18,"D04S2",1,"esp3_arbustif","Thym","taux_esp3_arbustif","20",NA,NA,"taux_0_50_esp3_arbustif","100","taux_50_100_esp3_arbustif","0","taux_100_200_esp3_arbustif","0","ht_toit_0_50_esp3_arbustif","20","ht_toit_50_100_esp3_arbustif",NA,"ht_toit_100_200_esp3_arbustif",NA
2016-05-18,"D04S2",1,"esp_hyd_arbustif",NA,"taux_esp_hyd_arbustif",NA,NA,NA,"taux_0_50_esp_hyd_arbustif",NA,"taux_50_100_esp_hyd_arbustif",NA,"taux_100_200_esp_hyd_arbustif",NA,"ht_toit_0_50_esp_hyd_arbustif",NA,"ht_toit_50_100_esp_hyd_arbustif",NA,"ht_toit_100_200_esp_hyd_arbustif",NA
2016-05-17,"D05S1",1,"esp1_arbore","Pin noir","taux_esp1_arbore","25","ht_toit_esp1_arbore","380",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016-05-17,"D05S1",1,"esp2_arbore","Co (Coronille à confirmer)","taux_esp2_arbore","15","ht_toit_esp2_arbore","300",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016-05-17,"D05S1",1,"esp3_arbore","Erable à feuilles d'obier","taux_esp3_arbore","10","ht_toit_esp3_arbore","500",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016-05-17,"D05S1",1,"esp1_arbustif","Cytise à feuille sessile","taux_esp1_arbustif","15",NA,NA,"taux_0_50_esp1_arbustif","0","taux_50_100_esp1_arbustif","0","taux_100_200_esp1_arbustif","100","ht_toit_0_50_esp1_arbustif",NA,"ht_toit_50_100_esp1_arbustif",NA,"ht_toit_100_200_esp1_arbustif","150"
2016-05-17,"D05S1",1,"esp2_arbustif","Coronille (à confirmer sinon cornouiller)","taux_esp2_arbustif","10",NA,NA,"taux_0_50_esp2_arbustif","0","taux_50_100_esp2_arbustif","0","taux_100_200_esp2_arbustif","100","ht_toit_0_50_esp2_arbustif",NA,"ht_toit_50_100_esp2_arbustif",NA,"ht_toit_100_200_esp2_arbustif","180"
2016-05-17,"D05S1",1,"esp3_arbustif","Genet cendre","taux_esp3_arbustif","10",NA,NA,"taux_0_50_esp3_arbustif","0","taux_50_100_esp3_arbustif","0","taux_100_200_esp3_arbustif","100","ht_toit_0_50_esp3_arbustif",NA,"ht_toit_50_100_esp3_arbustif",NA,"ht_toit_100_200_esp3_arbustif","170"
2016-05-17,"D05S1",1,"esp_hyd_arbustif",NA,"taux_esp_hyd_arbustif",NA,NA,NA,"taux_0_50_esp_hyd_arbustif",NA,"taux_50_100_esp_hyd_arbustif",NA,"taux_100_200_esp_hyd_arbustif",NA,"ht_toit_0_50_esp_hyd_arbustif",NA,"ht_toit_50_100_esp_hyd_arbustif",NA,"ht_toit_100_200_esp_hyd_arbustif",NA
2016-06-02,"D06S1",1,"esp1_arbore","Pin d'Alep","taux_esp1_arbore","25","ht_toit_esp1_arbore","400",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016-06-02,"D06S1",1,"esp2_arbore",NA,"taux_esp2_arbore",NA,"ht_toit_esp2_arbore",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016-06-02,"D06S1",1,"esp3_arbore",NA,"taux_esp3_arbore",NA,"ht_toit_esp3_arbore",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016-06-02,"D06S1",1,"esp1_arbustif","Romarin","taux_esp1_arbustif","15",NA,NA,"taux_0_50_esp1_arbustif","70","taux_50_100_esp1_arbustif","30","taux_100_200_esp1_arbustif","0","ht_toit_0_50_esp1_arbustif","40","ht_toit_50_100_esp1_arbustif","70","ht_toit_100_200_esp1_arbustif",NA
2016-06-02,"D06S1",1,"esp2_arbustif","Genevrier cade","taux_esp2_arbustif","10",NA,NA,"taux_0_50_esp2_arbustif","0","taux_50_100_esp2_arbustif","100","taux_100_200_esp2_arbustif","0","ht_toit_0_50_esp2_arbustif",NA,"ht_toit_50_100_esp2_arbustif","90","ht_toit_100_200_esp2_arbustif",NA
2016-06-02,"D06S1",1,"esp3_arbustif",NA,"taux_esp3_arbustif",NA,NA,NA,"taux_0_50_esp3_arbustif",NA,"taux_50_100_esp3_arbustif",NA,"taux_100_200_esp3_arbustif",NA,"ht_toit_0_50_esp3_arbustif",NA,"ht_toit_50_100_esp3_arbustif",NA,"ht_toit_100_200_esp3_arbustif",NA
2016-06-02,"D06S1",1,"esp_hyd_arbustif",NA,"taux_esp_hyd_arbustif",NA,NA,NA,"taux_0_50_esp_hyd_arbustif",NA,"taux_50_100_esp_hyd_arbustif",NA,"taux_100_200_esp_hyd_arbustif",NA,"ht_toit_0_50_esp_hyd_arbustif",NA,"ht_toit_50_100_esp_hyd_arbustif",NA,"ht_toit_100_200_esp_hyd_arbustif",NA
2016-06-02,"D06S2",1,"esp1_arbore","Mimosas","taux_esp1_arbore","20","ht_toit_esp1_arbore","830",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016-06-02,"D06S2",1,"esp2_arbore",NA,"taux_esp2_arbore",NA,"ht_toit_esp2_arbore",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
