"Date","Code_Site.x","Placette","sp_category","sp","coverage"
2016-06-02,"D06S2",1,"esp1_herbacee","Graminées",30
2016-06-02,"D06S2",1,"esp2_herbacee",NA,30
2016-06-02,"D06S2",1,"esp3_herbacee",NA,30
2016-06-02,"D06S2",1,"esp4_herbacee",NA,30
2016-05-17,"D05S1",1,"esp1_herbacee","Graminées",95
2016-05-17,"D05S1",1,"esp2_herbacee","Vesce",95
2016-05-17,"D05S1",1,"esp3_herbacee","Gaillet",95
2016-05-17,"D05S1",1,"esp4_herbacee",NA,95
2016-05-09,"D07S1",1,"esp1_herbacee","Asperge sauvage",10
2016-05-09,"D07S1",1,"esp2_herbacee","Graminées indéterminées",10
2016-05-09,"D07S1",1,"esp3_herbacee",NA,10
2016-05-09,"D07S1",1,"esp4_herbacee",NA,10
2017-05-15,"D2BS3",1,"esp1_herbacee","Graminées",15
2017-05-15,"D2BS3",1,"esp2_herbacee","Asphodele",15
2017-05-15,"D2BS3",1,"esp3_herbacee","genre fenouil",15
2017-05-15,"D2BS3",1,"esp4_herbacee","autres",15
2016-07-25,"D48S1",1,"esp1_herbacee",NA,0
2016-07-25,"D48S1",1,"esp2_herbacee",NA,0
2016-07-25,"D48S1",1,"esp3_herbacee",NA,0
2016-07-25,"D48S1",1,"esp4_herbacee",NA,0
2016-06-08,"D11S1",1,"esp1_herbacee","Aphyllante de Montpellier",35
2016-06-08,"D11S1",1,"esp2_herbacee","Brachypode",35
2016-06-08,"D11S1",1,"esp3_herbacee","Euphorbe",35
2016-06-08,"D11S1",1,"esp4_herbacee","Lys",35
2017-05-18,"D2AS2",1,"esp1_herbacee","brachypode",80
2017-05-18,"D2AS2",1,"esp2_herbacee","Asphodele",80
2017-05-18,"D2AS2",1,"esp3_herbacee","autres",80
2017-05-18,"D2AS2",1,"esp4_herbacee",NA,80
2016-05-31,"D83S3",1,"esp1_herbacee","Brachypode rameux",40
2016-05-31,"D83S3",1,"esp2_herbacee","Graminées indéterminées",40
2016-05-31,"D83S3",1,"esp3_herbacee",NA,40
2016-05-31,"D83S3",1,"esp4_herbacee",NA,40
2016-04-27,"D13S1",1,"esp1_herbacee",NA,10
2016-04-27,"D13S1",1,"esp2_herbacee",NA,10
2016-04-27,"D13S1",1,"esp3_herbacee",NA,10
2016-04-27,"D13S1",1,"esp4_herbacee",NA,10
2016-04-27,"D13S1",1,"esp1_herbacee",NA,60
2016-04-27,"D13S1",1,"esp2_herbacee",NA,60
2016-04-27,"D13S1",1,"esp3_herbacee",NA,60
2016-04-27,"D13S1",1,"esp4_herbacee",NA,60
2016-04-03,"D13S2",1,"esp1_herbacee","Brachypode rameux",60
2016-04-03,"D13S2",1,"esp2_herbacee","Salesepareille",60
2016-04-03,"D13S2",1,"esp3_herbacee",NA,60
2016-04-03,"D13S2",1,"esp4_herbacee",NA,60
2016-06-06,"D34S1",1,"esp1_herbacee","Graminées",10
2016-06-06,"D34S1",1,"esp2_herbacee","Immortelle",10
2016-06-06,"D34S1",1,"esp3_herbacee","Suculante",10
2016-06-06,"D34S1",1,"esp4_herbacee",NA,10
2016-06-07,"D34S1",2,"esp1_herbacee","Graminées",30
2016-06-07,"D34S1",2,"esp2_herbacee",NA,30
2016-06-07,"D34S1",2,"esp3_herbacee",NA,30
2016-06-07,"D34S1",2,"esp4_herbacee",NA,30
2016-07-07,"D83S1",1,"esp1_herbacee","Graminées",75
2016-07-07,"D83S1",1,"esp2_herbacee","Fétuque",75
2016-07-07,"D83S1",1,"esp3_herbacee","Chevrefeuille",75
2016-07-07,"D83S1",1,"esp4_herbacee",NA,75
2016-06-08,"D11S2",1,"esp1_herbacee","Graminées",40
2016-06-08,"D11S2",1,"esp2_herbacee",NA,40
2016-06-08,"D11S2",1,"esp3_herbacee",NA,40
2016-06-08,"D11S2",1,"esp4_herbacee",NA,40
NA,"D11S2",2,"esp1_herbacee","Fétuque",50
NA,"D11S2",2,"esp2_herbacee",NA,50
NA,"D11S2",2,"esp3_herbacee",NA,50
NA,"D11S2",2,"esp4_herbacee",NA,50
2016-05-31,"D83S2",1,"esp1_herbacee","Graminées",80
2016-05-31,"D83S2",1,"esp2_herbacee",NA,80
2016-05-31,"D83S2",1,"esp3_herbacee",NA,80
2016-05-31,"D83S2",1,"esp4_herbacee",NA,80
2016-06-08,"D66S1",1,"esp1_herbacee","Brachypode rameux",90
2016-06-08,"D66S1",1,"esp2_herbacee","Graminées indéterminées",90
2016-06-08,"D66S1",1,"esp3_herbacee",NA,90
2016-06-08,"D66S1",1,"esp4_herbacee",NA,90
2016-06-06,"D34S2",1,"esp1_herbacee","Brachypode rameux",60
2016-06-06,"D34S2",1,"esp2_herbacee","Graminées indéterminées",60
2016-06-06,"D34S2",1,"esp3_herbacee",NA,60
2016-06-06,"D34S2",1,"esp4_herbacee",NA,60
2016-07-26,"D30S2",1,"esp1_herbacee","Fétuque",70
2016-07-26,"D30S2",1,"esp2_herbacee","Autres",70
2016-07-26,"D30S2",1,"esp3_herbacee","Asperge sauvage",70
2016-07-26,"D30S2",1,"esp4_herbacee",NA,70
2016-06-09,"D66S2",1,"esp1_herbacee","Brachypode rameux",80
2016-06-09,"D66S2",1,"esp2_herbacee","Trèfle",80
2016-06-09,"D66S2",1,"esp3_herbacee","Millepertuis",80
2016-06-09,"D66S2",1,"esp4_herbacee",NA,80
2017-05-17,"D2AS3",1,"esp1_herbacee","brachypode",80
2017-05-17,"D2AS3",1,"esp2_herbacee","Asphodele",80
2017-05-17,"D2AS3",1,"esp3_herbacee","autres",80
2017-05-17,"D2AS3",1,"esp4_herbacee",NA,80
2016-05-18,"D04S1",1,"esp1_herbacee","Aphyllante de Montpellier",70
2016-05-18,"D04S1",1,"esp2_herbacee","Fetuque ovine",70
2016-05-18,"D04S1",1,"esp3_herbacee","Graminées indéterminées",70
2016-05-18,"D04S1",1,"esp4_herbacee",NA,70
2016-06-01,"D06S3",1,"esp1_herbacee","Graminées",75
2016-06-01,"D06S3",1,"esp2_herbacee","Liseron",75
2016-06-01,"D06S3",1,"esp3_herbacee",NA,75
2016-06-01,"D06S3",1,"esp4_herbacee",NA,75
2016-05-18,"D04S2",1,"esp1_herbacee","Graminées",10
2016-05-18,"D04S2",1,"esp2_herbacee","Fetuque ovine",10
2016-05-18,"D04S2",1,"esp3_herbacee","Saponaire",10
2016-05-18,"D04S2",1,"esp4_herbacee",NA,10
2016-06-02,"D06S1",1,"esp1_herbacee","Aphyllante de Montpellier",1
2016-06-02,"D06S1",1,"esp2_herbacee","Fetuque",1
2016-06-02,"D06S1",1,"esp3_herbacee",NA,1
