"ID","site_name","YEAR","MCD15A2H_Lai_mean_top5"
1,"Port de la Selva","2002",1.14
1,"Port de la Selva","2003",1.38
1,"Port de la Selva","2004",1.78
1,"Port de la Selva","2005",1.4
1,"Port de la Selva","2006",1.58
1,"Port de la Selva","2007",1.42
1,"Port de la Selva","2008",1.46
1,"Port de la Selva","2009",1.42
1,"Port de la Selva","2010",1.44
1,"Port de la Selva","2011",1.78
1,"Port de la Selva","2012",1.58
1,"Port de la Selva","2013",1.76
1,"Port de la Selva","2014",1.52
1,"Port de la Selva","2015",1.7
1,"Port de la Selva","2016",1.64
1,"Port de la Selva","2017",1.82
1,"Port de la Selva","2018",1.7
1,"Port de la Selva","2019",1.56
1,"Port de la Selva","2020",1.9
1,"Port de la Selva","2021",1.64
1,"Port de la Selva","2022",1.76
1,"Port de la Selva","2023",1.32
1,"Port de la Selva","2024",0.54
2,"Montmell","2002",0.8
2,"Montmell","2003",1.04
2,"Montmell","2004",1.28
2,"Montmell","2005",1.04
2,"Montmell","2006",1.2
2,"Montmell","2007",1.36
2,"Montmell","2008",1.08
2,"Montmell","2009",1.04
2,"Montmell","2010",1.06
2,"Montmell","2011",1.28
2,"Montmell","2012",1.08
2,"Montmell","2013",1.28
2,"Montmell","2014",1
2,"Montmell","2015",1.06
2,"Montmell","2016",1.18
2,"Montmell","2017",1.32
2,"Montmell","2018",1.12
2,"Montmell","2019",1.18
2,"Montmell","2020",1.42
2,"Montmell","2021",1.3
2,"Montmell","2022",1.16
2,"Montmell","2023",1.34
2,"Montmell","2024",0.52
3,"Tivissa","2002",2.02
3,"Tivissa","2003",2.3
3,"Tivissa","2004",2.48
3,"Tivissa","2005",1.86
3,"Tivissa","2006",1.94
3,"Tivissa","2007",2
3,"Tivissa","2008",2.12
3,"Tivissa","2009",2.04
3,"Tivissa","2010",1.96
3,"Tivissa","2011",2.26
3,"Tivissa","2012",2.04
3,"Tivissa","2013",2.2
3,"Tivissa","2014",2.12
3,"Tivissa","2015",2.1
3,"Tivissa","2016",2.2
3,"Tivissa","2017",2.28
3,"Tivissa","2018",2.48
3,"Tivissa","2019",2.1
3,"Tivissa","2020",2.68
3,"Tivissa","2021",2.04
3,"Tivissa","2022",2.28
3,"Tivissa","2023",1.88
3,"Tivissa","2024",1.16
4,"Tora","2002",0.82
4,"Tora","2003",1.34
4,"Tora","2004",2.08
4,"Tora","2005",0.86
4,"Tora","2006",1.46
4,"Tora","2007",1.72
4,"Tora","2008",1.3
4,"Tora","2009",1.8
4,"Tora","2010",1.64
4,"Tora","2011",1.72
4,"Tora","2012",1.5
4,"Tora","2013",2.06
4,"Tora","2014",1.5
4,"Tora","2015",1.44
4,"Tora","2016",1.7
4,"Tora","2017",1.86
4,"Tora","2018",1.66
4,"Tora","2019",1.68
4,"Tora","2020",2.06
4,"Tora","2021",1.72
4,"Tora","2022",1.36
4,"Tora","2023",1.3
4,"Tora","2024",0.66
5,"El Bruc","2002",2.12
5,"El Bruc","2003",2.46
5,"El Bruc","2004",2.52
5,"El Bruc","2005",2
5,"El Bruc","2006",2.18
5,"El Bruc","2007",2
5,"El Bruc","2008",1.96
5,"El Bruc","2009",2
5,"El Bruc","2010",2.4
5,"El Bruc","2011",2.1
5,"El Bruc","2012",2.14
5,"El Bruc","2013",2.24
5,"El Bruc","2014",2.1
5,"El Bruc","2015",1.9
5,"El Bruc","2016",1.9
5,"El Bruc","2017",1.84
5,"El Bruc","2018",2.08
5,"El Bruc","2019",1.98
5,"El Bruc","2020",2.26
5,"El Bruc","2021",1.9
5,"El Bruc","2022",1.72
5,"El Bruc","2023",1.64
5,"El Bruc","2024",0.66
6,"Caldes de Malavella","2002",2.38
6,"Caldes de Malavella","2003",2.32
6,"Caldes de Malavella","2004",2.34
6,"Caldes de Malavella","2005",2.14
6,"Caldes de Malavella","2006",1.9
6,"Caldes de Malavella","2007",2.26
6,"Caldes de Malavella","2008",2.64
6,"Caldes de Malavella","2009",2.5
6,"Caldes de Malavella","2010",2.32
6,"Caldes de Malavella","2011",2.42
6,"Caldes de Malavella","2012",2.54
6,"Caldes de Malavella","2013",2.2
6,"Caldes de Malavella","2014",3.06
6,"Caldes de Malavella","2015",2.16
6,"Caldes de Malavella","2016",2.28
6,"Caldes de Malavella","2017",2.36
6,"Caldes de Malavella","2018",2.68
6,"Caldes de Malavella","2019",2.7
6,"Caldes de Malavella","2020",2.9
6,"Caldes de Malavella","2021",2.3
6,"Caldes de Malavella","2022",2.66
6,"Caldes de Malavella","2023",2.32
6,"Caldes de Malavella","2024",0.9
7,"Begues","2002",2.24
7,"Begues","2003",2.12
7,"Begues","2004",2.28
7,"Begues","2005",2.02
7,"Begues","2006",2
7,"Begues","2007",2.22
7,"Begues","2008",2.24
7,"Begues","2009",2.26
7,"Begues","2010",2.16
7,"Begues","2011",2.28
7,"Begues","2012",2.2
7,"Begues","2013",2.54
7,"Begues","2014",2.22
7,"Begues","2015",2.22
7,"Begues","2016",2.42
7,"Begues","2017",2.44
7,"Begues","2018",2.28
7,"Begues","2019",2.14
7,"Begues","2020",2.7
7,"Begues","2021",2.28
7,"Begues","2022",2.34
7,"Begues","2023",1.76
7,"Begues","2024",1.08
8,"Camarasa","2002",1.52
8,"Camarasa","2003",1.78
8,"Camarasa","2004",1.94
8,"Camarasa","2005",1.4
8,"Camarasa","2006",1.56
8,"Camarasa","2007",1.68
8,"Camarasa","2008",1.76
8,"Camarasa","2009",1.78
8,"Camarasa","2010",1.8
8,"Camarasa","2011",1.82
8,"Camarasa","2012",1.76
8,"Camarasa","2013",1.8
8,"Camarasa","2014",1.9
8,"Camarasa","2015",1.62
8,"Camarasa","2016",1.84
8,"Camarasa","2017",1.82
8,"Camarasa","2018",1.78
8,"Camarasa","2019",1.66
8,"Camarasa","2020",2.2
8,"Camarasa","2021",1.88
8,"Camarasa","2022",1.7
8,"Camarasa","2023",1.72
8,"Camarasa","2024",1.08
9,"Badalona","2002",1.62
9,"Badalona","2003",1.96
9,"Badalona","2004",2.1
9,"Badalona","2005",1.66
9,"Badalona","2006",1.72
9,"Badalona","2007",1.72
9,"Badalona","2008",2.02
9,"Badalona","2009",2.16
9,"Badalona","2010",2.08
9,"Badalona","2011",2.36
9,"Badalona","2012",2.28
9,"Badalona","2013",2.28
9,"Badalona","2014",2.06
9,"Badalona","2015",1.94
9,"Badalona","2016",2.04
9,"Badalona","2017",2.28
9,"Badalona","2018",2.24
9,"Badalona","2019",2.06
9,"Badalona","2020",2.38
9,"Badalona","2021",1.82
9,"Badalona","2022",2
9,"Badalona","2023",1.46
9,"Badalona","2024",0.78
10,"D04S1","2002",2.16
10,"D04S1","2003",2.36
10,"D04S1","2004",2.08
10,"D04S1","2005",2.52
10,"D04S1","2006",2.08
10,"D04S1","2007",2.38
10,"D04S1","2008",2.22
10,"D04S1","2009",2.7
10,"D04S1","2010",2.48
10,"D04S1","2011",2.3
10,"D04S1","2012",2.32
10,"D04S1","2013",2.4
10,"D04S1","2014",2.38
10,"D04S1","2015",2.3
10,"D04S1","2016",2.7
10,"D04S1","2017",2.6
10,"D04S1","2018",2.74
10,"D04S1","2019",2.46
10,"D04S1","2020",2.84
10,"D04S1","2021",2.72
10,"D04S1","2022",2.2
10,"D04S1","2023",2.5
10,"D04S1","2024",1.14
11,"D04S2","2002",2.34
11,"D04S2","2003",2.5
11,"D04S2","2004",2.96
11,"D04S2","2005",2.28
11,"D04S2","2006",2.28
11,"D04S2","2007",2.6
11,"D04S2","2008",2.7
11,"D04S2","2009",2.56
11,"D04S2","2010",2.72
11,"D04S2","2011",2.78
11,"D04S2","2012",2.44
11,"D04S2","2013",2.8
11,"D04S2","2014",3.44
11,"D04S2","2015",2.9
11,"D04S2","2016",2.54
11,"D04S2","2017",2.6
11,"D04S2","2018",2.9
11,"D04S2","2019",2.76
11,"D04S2","2020",3.16
11,"D04S2","2021",2.86
11,"D04S2","2022",2.58
11,"D04S2","2023",2.52
11,"D04S2","2024",1.14
12,"D05S1","2002",4.38
12,"D05S1","2003",5.74
12,"D05S1","2004",5.1
12,"D05S1","2005",5.02
12,"D05S1","2006",5.34
12,"D05S1","2007",4.24
12,"D05S1","2008",5.38
12,"D05S1","2009",5.7
12,"D05S1","2010",5.48
12,"D05S1","2011",5.34
12,"D05S1","2012",4.68
12,"D05S1","2013",6.36
12,"D05S1","2014",5.4
12,"D05S1","2015",6.06
12,"D05S1","2016",4.64
12,"D05S1","2017",5.34
12,"D05S1","2018",5.92
12,"D05S1","2019",5.14
12,"D05S1","2020",5.4
12,"D05S1","2021",5.72
12,"D05S1","2022",5.26
12,"D05S1","2023",5.46
12,"D05S1","2024",1.18
13,"D07S1","2002",6.02
13,"D07S1","2003",5.3
13,"D07S1","2004",5.94
13,"D07S1","2005",5.94
13,"D07S1","2006",4.84
13,"D07S1","2007",5.72
13,"D07S1","2008",6.22
13,"D07S1","2009",6.06
13,"D07S1","2010",6.06
13,"D07S1","2011",5.92
13,"D07S1","2012",5.78
13,"D07S1","2013",5.7
13,"D07S1","2014",5.82
13,"D07S1","2015",5.88
13,"D07S1","2016",5.52
13,"D07S1","2017",6.1
13,"D07S1","2018",6.42
13,"D07S1","2019",5.38
13,"D07S1","2020",6.2
13,"D07S1","2021",6.06
13,"D07S1","2022",5.8
13,"D07S1","2023",6.12
13,"D07S1","2024",2.46
14,"D11S1","2002",1.74
14,"D11S1","2003",1.86
14,"D11S1","2004",2.32
14,"D11S1","2005",2.12
14,"D11S1","2006",1.96
14,"D11S1","2007",2.22
14,"D11S1","2008",2.02
14,"D11S1","2009",2.26
14,"D11S1","2010",2.12
14,"D11S1","2011",2.26
14,"D11S1","2012",2.56
14,"D11S1","2013",2.24
14,"D11S1","2014",2.04
14,"D11S1","2015",2.2
14,"D11S1","2016",2.1
14,"D11S1","2017",2.24
14,"D11S1","2018",3.12
14,"D11S1","2019",2.26
14,"D11S1","2020",2.64
14,"D11S1","2021",2.28
14,"D11S1","2022",2.34
14,"D11S1","2023",1.96
14,"D11S1","2024",1.16
15,"D11S2","2002",2.7
15,"D11S2","2003",2.96
15,"D11S2","2004",3.44
15,"D11S2","2005",3.36
15,"D11S2","2006",2.88
15,"D11S2","2007",3.24
15,"D11S2","2008",3.48
15,"D11S2","2009",3.14
15,"D11S2","2010",2.76
15,"D11S2","2011",3.88
15,"D11S2","2012",3.12
15,"D11S2","2013",3.06
15,"D11S2","2014",3.18
15,"D11S2","2015",4.46
15,"D11S2","2016",3.34
15,"D11S2","2017",3.58
15,"D11S2","2018",3.72
