"site_name","widths","clay","sand","om","bd","rfc"
"Port de la Selva",300,27.1,32.9333333333333,3.82666666666667,1.29666666666667,15.9666666666667
"Port de la Selva",1000,30.4130434782609,30.195652173913,1.10434782608696,1.44260869565217,16.0782608695652
"Port de la Selva",2000,29.5,31.5,0.8,1.46,16.6
"Montmell",300,27.1666666666667,31.5,2.60333333333333,1.34666666666667,13.2333333333333
"Montmell",1000,32.5478260869565,29,1.21434782608696,1.45521739130435,13.1086956521739
"Montmell",2000,32.2,30,0.91,1.49,14.5
"Tivissa",300,25.5,31.0666666666667,4.20333333333333,1.20666666666667,16.4666666666667
"Tivissa",1000,30.5826086956522,28.6304347826087,1.24826086956522,1.49217391304348,16.7869565217391
"Tivissa",2000,29.8,28.5,0.77,1.54,16.7
"Torà",300,29.7,26.4666666666667,2.45666666666667,1.36,15.9
"Torà",1000,32.4782608695652,25.2521739130435,0.746956521739131,1.49826086956522,18.5086956521739
"Torà",2000,35,24.6,0.36,1.52,20.9
"El Bruc",300,28.0666666666667,31.9333333333333,3.57,1.23666666666667,18.2333333333333
"El Bruc",1000,31.6086956521739,31.9608695652174,0.92,1.50652173913043,18.8
"El Bruc",2000,32,32.7,0.62,1.55,20.8
"Caldes de Malavella",300,19.8333333333333,34.3,3.52,1.32666666666667,14.6666666666667
"Caldes de Malavella",1000,28.3217391304348,32.7478260869565,0.885217391304348,1.48391304347826,16.2478260869565
"Caldes de Malavella",2000,27.8,33.4,0.82,1.51,17.9
"Begues",300,26.0333333333333,31.1333333333333,3.99333333333333,1.36333333333333,16.1
"Begues",1000,27.4869565217391,32.5695652173913,1.23565217391304,1.52391304347826,16.7608695652174
"Begues",2000,27.4,33.7,0.84,1.55,17.5
"Camarasa",300,32.0333333333333,27.4333333333333,3.46666666666667,1.27666666666667,19.7666666666667
"Camarasa",1000,33.4217391304348,27.7521739130435,0.96,1.50347826086957,20.695652173913
"Camarasa",2000,32.9,27.1,0.66,1.56,22
"Badalona",300,31.2666666666667,31.5333333333333,3.43,1.36,17.0333333333333
"Badalona",1000,31.1173913043478,33.2347826086957,1.1295652173913,1.47826086956522,17.2260869565217
"Badalona",2000,31.9,33.8,0.86,1.5,18.4
"D04S1",300,28.5,26.7666666666667,4.04333333333333,1.27333333333333,16.3333333333333
"D04S1",1000,29.0521739130435,26.4434782608696,1.21913043478261,1.51086956521739,17.5217391304348
"D04S1",2000,29.4,25.4,0.78,1.55,19
"D04S2",300,26.3,27.4666666666667,4.76,1.31,20.7666666666667
"D04S2",1000,28.0652173913043,29.404347826087,1.40347826086957,1.43217391304348,24.3173913043478
"D04S2",2000,29.5,30.1,0.96,1.48,26.1
"D05S1",300,24.8333333333333,26.8666666666667,5.54,1.15,20.6
"D05S1",1000,26.8391304347826,26.8391304347826,1.64086956521739,1.43173913043478,21.4260869565217
"D05S1",2000,27.1,27.1,1.28,1.51,21.6
"D07S1",300,34.1666666666667,25.7666666666667,3.97,1.19,16.0666666666667
"D07S1",1000,35.6565217391304,26.3217391304348,0.914347826086957,1.49521739130435,15.1434782608696
"D07S1",2000,35.7,26.8,0.61,1.53,16.1
"D11S1",300,29.7333333333333,27.1666666666667,3.62,1.27,16.7
"D11S1",1000,32.2695652173913,26.4695652173913,1.06478260869565,1.47260869565217,14.7086956521739
"D11S1",2000,32.4,26.6,0.63,1.49,17.1
"D11S2",300,31.6666666666667,30.4666666666667,3.86333333333333,1.32,14.0666666666667
"D11S2",1000,36.1869565217391,28.5826086956522,0.984782608695652,1.47391304347826,12.595652173913
"D11S2",2000,35.1,29.8,0.55,1.5,13.9
"D13S1",300,26.8,35.3,4.1,1.33,15.6333333333333
"D13S1",1000,34.4739130434783,32.1260869565217,1.49391304347826,1.43130434782609,16.095652173913
"D13S1",2000,34.3,32.3,1.22,1.44,18.4
"D13S2",300,28.2333333333333,33.2333333333333,3.63666666666667,1.36,16.9
"D13S2",1000,33.2782608695652,30.1913043478261,0.937826086956522,1.45260869565217,16.7695652173913
"D13S2",2000,33.8,29.8,0.79,1.47,18.9
"D26S1",300,28,27.0666666666667,4.00333333333333,1.2,17.6666666666667
"D26S1",1000,34,25.0739130434783,1.12217391304348,1.49217391304348,16.604347826087
"D26S1",2000,34,24.9,0.77,1.54,18.3
"D30S1",300,24.4333333333333,31.8666666666667,4.79666666666667,1.15,16.7
"D30S1",1000,27.8217391304348,31.1782608695652,1.15782608695652,1.46086956521739,15.5608695652174
"D30S1",2000,26.3,30.7,0.81,1.5,16.3
"D30S2",300,27.8333333333333,33.7666666666667,3.23666666666667,1.39666666666667,17.5
"D30S2",1000,34.5695652173913,30.8304347826087,0.943478260869565,1.55130434782609,16.2304347826087
"D30S2",2000,33.7,31.7,0.8,1.56,18.1
"D34S2",300,28.5,30.4,2.96333333333333,1.33666666666667,14.1666666666667
"D34S2",1000,35.2913043478261,26.5304347826087,0.938695652173913,1.47086956521739,12.1739130434783
"D34S2",2000,33.9,26.4,0.63,1.51,13
"D34S1",300,28.5,30.9,4.12333333333333,1.14666666666667,14.8
"D34S1",1000,36.2782608695652,27.3217391304348,1.19782608695652,1.41913043478261,12.0608695652174
"D34S1",2000,35.8,27.8,0.75,1.48,13.8
"D48S1",300,32.6,30.9666666666667,5.45,1.08,10.0333333333333
"D48S1",1000,33.4347826086957,30.7391304347826,1.27521739130435,1.41913043478261,10.1086956521739
"D48S1",2000,32,32,0.61,1.48,12.5
"D66S1",300,26.0666666666667,39.5,3.93666666666667,1.19666666666667,14.9333333333333
"D66S1",1000,34.5956521739131,35.0695652173913,1.4104347826087,1.42782608695652,13.9695652173913
"D66S1",2000,33.9,37.2,1.08,1.48,15.1
"D66S2",300,26.6,38.2666666666667,2.61,1.35,17.2
