"Date","Code_Site.x","Placette","sp","sp_accepted_name","coverage","height"
2016-06-02,"D06S2",1,"Mimosas","Acacia dealbata","20","830"
2016-05-17,"D05S1",1,"Pin noir","Pinus nigra","25","380"
2016-05-17,"D05S1",1,"Erable à feuilles d'obier","Acer opalus","10","500"
2016-05-09,"D07S1",1,"Chene vert","Quercus ilex","25","250"
2016-05-09,"D07S1",1,"Arbousier","Arbutus unedo","15","250"
2017-05-15,"D2BS3",1,"Arbousier","Arbutus unedo","5","280"
2017-05-15,"D2BS3",1,"Bruyere arborescente","Erica arborea","5","250"
2016-07-25,"D48S1",1,"Pin sylvestre","Pinus sylvestris","10","550"
2016-05-31,"D83S3",1,"Pin d'Alep","Pinus halepensis","20","1500"
2016-05-31,"D83S3",1,"Chene vert","Quercus ilex","15","400"
2016-05-31,"D83S2",1,"Chene vert","Quercus ilex","35","310"
2016-05-31,"D83S2",1,"Chene blanc","Quercus pubescens","15","450"
2016-05-31,"D83S2",1,"Pin d'Alep","Pinus halepensis","10","550"
2016-07-26,"D30S2",1,"Chene vert","Quercus ilex","30","300"
2016-07-26,"D30S2",1,"Pin d'alep","Pinus halepensis","20","600"
2016-06-09,"D66S2",1,"Chene liège","Quercus suber","voir avec nico martin","470"
2016-06-09,"D66S2",1,"Chene blanc","Quercus pubescens","voir avec nico martin","250"
2016-06-09,"D66S2",1,"Genevrier cade","Juniperus oxycedrus","voir avec nico martin","220"
2017-05-17,"D2AS3",1,"Arbousier","Arbutus unedo","15 dont 3 mort","260"
2017-05-17,"D2AS3",1,"Filaire a feuilles etroites","Phillyrea angustifolia","7","240"
2016-05-18,"D04S1",1,"Pin d'Alep","Pinus halepensis","15","950"
2016-06-01,"D06S3",1,"Chene vert","Quercus ilex","20","450"
2016-06-02,"D06S1",1,"Pin d'Alep","Pinus halepensis","25","400"
2016-04-28,"D84S1",1,"Chene vert","Quercus ilex","10","280"
2016-05-26,"D84S2",1,"Chene vert","Quercus ilex","30","300"
2016-05-26,"D84S2",1,"Pin d'Alep","Pinus halepensis","5","350"
2017-05-16,"D2BS2",1,"Chene vert","Quercus ilex","100","450"
2016-07-25,"D30S1",1,"Pin maritime","Pinus pinaster","70","1500"
2016-04-04,"D26S1",1,"Pin d'Alep","Pinus halepensis","15","450"
2016-04-04,"D26S1",1,"Chene blanc","Quercus pubescens","5","270"
