"SiteCode","SiteName","Species","sp_correct_name","SiteXSpecies","date","Year","Month","Doy","RobustLFMC","RobustStandErrLFMC","RobustNval"
"D04S1","Les Adrechs","Genista cinerea","Genista cinerea","D04S1XGencin","11/07/1996",1996,7,193,99.74505,2.0490663,3
"D04S1","Les Adrechs","Genista cinerea","Genista cinerea","D04S1XGencin","15/07/1996",1996,7,197,86.08737,1.5871999,5
"D04S1","Les Adrechs","Genista cinerea","Genista cinerea","D04S1XGencin","18/07/1996",1996,7,200,90.68795,1.5871999,5
"D04S1","Les Adrechs","Genista cinerea","Genista cinerea","D04S1XGencin","22/07/1996",1996,7,204,82.92428,1.5871999,5
"D04S1","Les Adrechs","Genista cinerea","Genista cinerea","D04S1XGencin","25/07/1996",1996,7,207,79.25409,1.5871999,5
"D04S1","Les Adrechs","Genista cinerea","Genista cinerea","D04S1XGencin","29/07/1996",1996,7,211,81.196,1.5871999,5
"D04S1","Les Adrechs","Genista cinerea","Genista cinerea","D04S1XGencin","01/08/1996",1996,8,214,73.61137,1.7745435,4
"D04S1","Les Adrechs","Genista cinerea","Genista cinerea","D04S1XGencin","05/08/1996",1996,8,218,82.29076,1.5871999,5
"D04S1","Les Adrechs","Genista cinerea","Genista cinerea","D04S1XGencin","08/08/1996",1996,8,221,83.24509,1.5871999,5
"D04S1","Les Adrechs","Genista cinerea","Genista cinerea","D04S1XGencin","12/08/1996",1996,8,225,142.30852,2.0490663,3
"D04S1","Les Adrechs","Genista cinerea","Genista cinerea","D04S1XGencin","19/08/1996",1996,8,232,74.64348,1.5871999,5
"D04S1","Les Adrechs","Genista cinerea","Genista cinerea","D04S1XGencin","22/08/1996",1996,8,235,79.22057,1.5871999,5
"D04S1","Les Adrechs","Genista cinerea","Genista cinerea","D04S1XGencin","26/08/1996",1996,8,239,77.17949,1.5871999,5
"D04S1","Les Adrechs","Genista cinerea","Genista cinerea","D04S1XGencin","29/08/1996",1996,8,242,70.59111,1.5871999,5
"D04S1","Les Adrechs","Genista cinerea","Genista cinerea","D04S1XGencin","02/09/1996",1996,9,246,74.87057,1.5871999,5
"D04S1","Les Adrechs","Genista cinerea","Genista cinerea","D04S1XGencin","30/06/1997",1997,6,181,83.91646,1.5871999,5
"D04S1","Les Adrechs","Genista cinerea","Genista cinerea","D04S1XGencin","03/07/1997",1997,7,184,86.26683,1.5871999,5
"D04S1","Les Adrechs","Genista cinerea","Genista cinerea","D04S1XGencin","07/07/1997",1997,7,188,76.48115,1.5871999,5
"D04S1","Les Adrechs","Genista cinerea","Genista cinerea","D04S1XGencin","10/07/1997",1997,7,191,88.192,1.5871999,5
"D04S1","Les Adrechs","Genista cinerea","Genista cinerea","D04S1XGencin","17/07/1997",1997,7,198,69.01005,1.5871999,5
"D04S1","Les Adrechs","Genista cinerea","Genista cinerea","D04S1XGencin","24/07/1997",1997,7,205,63.2264,1.5871999,5
"D04S1","Les Adrechs","Genista cinerea","Genista cinerea","D04S1XGencin","28/07/1997",1997,7,209,66.29392,1.5871999,5
"D04S1","Les Adrechs","Genista cinerea","Genista cinerea","D04S1XGencin","31/07/1997",1997,7,212,63.72882,1.5871999,5
"D04S1","Les Adrechs","Genista cinerea","Genista cinerea","D04S1XGencin","04/08/1997",1997,8,216,59.82164,1.5871999,5
"D04S1","Les Adrechs","Genista cinerea","Genista cinerea","D04S1XGencin","07/08/1997",1997,8,219,73.18536,1.5871999,5
"D04S1","Les Adrechs","Genista cinerea","Genista cinerea","D04S1XGencin","18/08/1997",1997,8,230,67.79436,1.5871999,5
"D04S1","Les Adrechs","Genista cinerea","Genista cinerea","D04S1XGencin","21/08/1997",1997,8,233,68.00191,1.7745435,4
"D04S1","Les Adrechs","Genista cinerea","Genista cinerea","D04S1XGencin","25/08/1997",1997,8,237,66.39512,1.5871999,5
"D04S1","Les Adrechs","Genista cinerea","Genista cinerea","D04S1XGencin","01/09/1997",1997,9,244,71.32597,1.5871999,5
"D04S1","Les Adrechs","Genista cinerea","Genista cinerea","D04S1XGencin","04/09/1997",1997,9,247,67.92324,1.5871999,5
"D04S1","Les Adrechs","Genista cinerea","Genista cinerea","D04S1XGencin","08/09/1997",1997,9,251,66.29626,1.5871999,5
"D04S1","Les Adrechs","Genista cinerea","Genista cinerea","D04S1XGencin","11/09/1997",1997,9,254,67.45448,1.5871999,5
"D04S1","Les Adrechs","Genista cinerea","Genista cinerea","D04S1XGencin","29/06/1998",1998,6,180,110.35046,1.5871999,5
"D04S1","Les Adrechs","Genista cinerea","Genista cinerea","D04S1XGencin","02/07/1998",1998,7,183,99.22071,1.5871999,5
"D04S1","Les Adrechs","Genista cinerea","Genista cinerea","D04S1XGencin","06/07/1998",1998,7,187,93.72695,1.5871999,5
"D04S1","Les Adrechs","Genista cinerea","Genista cinerea","D04S1XGencin","09/07/1998",1998,7,190,87.41196,1.5871999,5
"D04S1","Les Adrechs","Genista cinerea","Genista cinerea","D04S1XGencin","16/07/1998",1998,7,197,76.41002,1.5871999,5
"D04S1","Les Adrechs","Genista cinerea","Genista cinerea","D04S1XGencin","20/07/1998",1998,7,201,76.98741,1.5871999,5
"D04S1","Les Adrechs","Genista cinerea","Genista cinerea","D04S1XGencin","23/07/1998",1998,7,204,63.69461,1.5871999,5
"D04S1","Les Adrechs","Genista cinerea","Genista cinerea","D04S1XGencin","27/07/1998",1998,7,208,71.95619,1.5871999,5
"D04S1","Les Adrechs","Genista cinerea","Genista cinerea","D04S1XGencin","30/07/1998",1998,7,211,67.6854,1.5871999,5
"D04S1","Les Adrechs","Genista cinerea","Genista cinerea","D04S1XGencin","06/08/1998",1998,8,218,69.91626,1.5871999,5
"D04S1","Les Adrechs","Genista cinerea","Genista cinerea","D04S1XGencin","10/08/1998",1998,8,222,66.7179,1.5871999,5
"D04S1","Les Adrechs","Genista cinerea","Genista cinerea","D04S1XGencin","13/08/1998",1998,8,225,68.8433,1.5871999,5
"D04S1","Les Adrechs","Genista cinerea","Genista cinerea","D04S1XGencin","17/08/1998",1998,8,229,64.02379,1.5871999,5
"D04S1","Les Adrechs","Genista cinerea","Genista cinerea","D04S1XGencin","20/08/1998",1998,8,232,69.17428,1.5871999,5
"D04S1","Les Adrechs","Genista cinerea","Genista cinerea","D04S1XGencin","24/08/1998",1998,8,236,57.18712,1.5871999,5
"D04S1","Les Adrechs","Genista cinerea","Genista cinerea","D04S1XGencin","27/08/1998",1998,8,239,64.36884,1.5871999,5
"D04S1","Les Adrechs","Genista cinerea","Genista cinerea","D04S1XGencin","31/08/1998",1998,8,243,61.29532,1.5871999,5
"D04S1","Les Adrechs","Genista cinerea","Genista cinerea","D04S1XGencin","03/09/1998",1998,9,246,63.06695,1.5871999,5
"D04S1","Les Adrechs","Genista cinerea","Genista cinerea","D04S1XGencin","10/09/1998",1998,9,253,59.6976,1.5871999,5
"D04S1","Les Adrechs","Genista cinerea","Genista cinerea","D04S1XGencin","14/09/1998",1998,9,257,70.98244,1.5871999,5
"D04S1","Les Adrechs","Genista cinerea","Genista cinerea","D04S1XGencin","05/07/1999",1999,7,186,76.13736,1.5871999,5
"D04S1","Les Adrechs","Genista cinerea","Genista cinerea","D04S1XGencin","08/07/1999",1999,7,189,73.73168,1.5871999,5
"D04S1","Les Adrechs","Genista cinerea","Genista cinerea","D04S1XGencin","12/07/1999",1999,7,193,70.02904,1.5871999,5
"D04S1","Les Adrechs","Genista cinerea","Genista cinerea","D04S1XGencin","15/07/1999",1999,7,196,71.08532,1.7745435,4
"D04S1","Les Adrechs","Genista cinerea","Genista cinerea","D04S1XGencin","19/07/1999",1999,7,200,65.97711,1.7745435,4
"D04S1","Les Adrechs","Genista cinerea","Genista cinerea","D04S1XGencin","22/07/1999",1999,7,203,62.30748,1.5871999,5
"D04S1","Les Adrechs","Genista cinerea","Genista cinerea","D04S1XGencin","26/07/1999",1999,7,207,62.70756,1.5871999,5
"D04S1","Les Adrechs","Genista cinerea","Genista cinerea","D04S1XGencin","29/07/1999",1999,7,210,69.78339,1.5871999,5
"D04S1","Les Adrechs","Genista cinerea","Genista cinerea","D04S1XGencin","02/08/1999",1999,8,214,65.40159,1.5871999,5
"D04S1","Les Adrechs","Genista cinerea","Genista cinerea","D04S1XGencin","05/08/1999",1999,8,217,63.55315,1.5871999,5
"D04S1","Les Adrechs","Genista cinerea","Genista cinerea","D04S1XGencin","09/08/1999",1999,8,221,61.03126,1.5871999,5
"D04S1","Les Adrechs","Genista cinerea","Genista cinerea","D04S1XGencin","12/08/1999",1999,8,224,60.28518,1.5871999,5
"D04S1","Les Adrechs","Genista cinerea","Genista cinerea","D04S1XGencin","19/08/1999",1999,8,231,53.60578,1.5871999,5
"D04S1","Les Adrechs","Genista cinerea","Genista cinerea","D04S1XGencin","23/08/1999",1999,8,235,59.74428,1.5871999,5
"D04S1","Les Adrechs","Genista cinerea","Genista cinerea","D04S1XGencin","26/08/1999",1999,8,238,63.13966,1.5871999,5
"D04S1","Les Adrechs","Genista cinerea","Genista cinerea","D04S1XGencin","30/08/1999",1999,8,242,56.19109,1.5871999,5
"D04S1","Les Adrechs","Genista cinerea","Genista cinerea","D04S1XGencin","02/09/1999",1999,9,245,66.91086,1.5871999,5
"D04S1","Les Adrechs","Genista cinerea","Genista cinerea","D04S1XGencin","06/09/1999",1999,9,249,65.89639,1.5871999,5
"D04S1","Les Adrechs","Genista cinerea","Genista cinerea","D04S1XGencin","09/09/1999",1999,9,252,59.02299,1.5871999,5
"D04S1","Les Adrechs","Genista cinerea","Genista cinerea","D04S1XGencin","13/09/1999",1999,9,256,57.66028,1.5871999,5
"D04S1","Les Adrechs","Genista cinerea","Genista cinerea","D04S1XGencin","16/09/1999",1999,9,259,56.95758,1.5871999,5
"D04S1","Les Adrechs","Genista cinerea","Genista cinerea","D04S1XGencin","10/07/2000",2000,7,192,85.12246,1.5871999,5
"D04S1","Les Adrechs","Genista cinerea","Genista cinerea","D04S1XGencin","17/07/2000",2000,7,199,64.70644,1.5871999,5
"D04S1","Les Adrechs","Genista cinerea","Genista cinerea","D04S1XGencin","20/07/2000",2000,7,202,67.35742,1.5871999,5
"D04S1","Les Adrechs","Genista cinerea","Genista cinerea","D04S1XGencin","24/07/2000",2000,7,206,74.5783,1.7745435,4
"D04S1","Les Adrechs","Genista cinerea","Genista cinerea","D04S1XGencin","27/07/2000",2000,7,209,73.38051,1.5871999,5
"D04S1","Les Adrechs","Genista cinerea","Genista cinerea","D04S1XGencin","31/07/2000",2000,7,213,77.37526,1.5871999,5
"D04S1","Les Adrechs","Genista cinerea","Genista cinerea","D04S1XGencin","03/08/2000",2000,8,216,77.95361,1.5871999,5
"D04S1","Les Adrechs","Genista cinerea","Genista cinerea","D04S1XGencin","07/08/2000",2000,8,220,69.10332,1.5871999,5
"D04S1","Les Adrechs","Genista cinerea","Genista cinerea","D04S1XGencin","10/08/2000",2000,8,223,65.53219,1.5871999,5
"D04S1","Les Adrechs","Genista cinerea","Genista cinerea","D04S1XGencin","17/08/2000",2000,8,230,57.70753,1.5871999,5
"D04S1","Les Adrechs","Genista cinerea","Genista cinerea","D04S1XGencin","24/08/2000",2000,8,237,61.27663,1.5871999,5
"D04S1","Les Adrechs","Genista cinerea","Genista cinerea","D04S1XGencin","28/08/2000",2000,8,241,59.54182,1.5871999,5
"D04S1","Les Adrechs","Genista cinerea","Genista cinerea","D04S1XGencin","31/08/2000",2000,8,244,69.50771,1.5871999,5
"D04S1","Les Adrechs","Genista cinerea","Genista cinerea","D04S1XGencin","04/09/2000",2000,9,248,63.06796,1.5871999,5
"D04S1","Les Adrechs","Genista cinerea","Genista cinerea","D04S1XGencin","07/09/2000",2000,9,251,61.66244,1.5871999,5
"D04S1","Les Adrechs","Genista cinerea","Genista cinerea","D04S1XGencin","14/09/2000",2000,9,258,58.58634,1.5871999,5
"D04S1","Les Adrechs","Genista cinerea","Genista cinerea","D04S1XGencin","18/09/2000",2000,9,262,54.29599,1.5871999,5
"D04S1","Les Adrechs","Genista cinerea","Genista cinerea","D04S1XGencin","21/09/2000",2000,9,265,67.50681,1.5871999,5
