"Name","SpIndex","AcceptedName","Species","Genus","Family","Order","Group","GrowthForm","LifeForm","LeafShape","LeafSize","PhenologyType","DispersalType","Hmed","Hmax","Dmax","Z50","Z95","fHDmin","fHDmax","a_ash","b_ash","a_bsh","b_bsh","a_btsh","b_btsh","cr","BTsh","a_fbt","b_fbt","c_fbt","a_cr","b_1cr","b_2cr","b_3cr","c_1cr","c_2cr","a_cw","b_cw","a_bt","b_bt","LeafDuration","t0gdd","Sgdd","Tbgdd","Ssen","Phsen","Tbsen","xsen","ysen","SLA","LeafDensity","WoodDensity","FineRootDensity","conduit2sapwood","r635","pDead","Al2As","Ar2Al","LeafWidth","SRL","RLD","maxFMC","minFMC","LeafPI0","LeafEPS","LeafAF","StemPI0","StemEPS","StemAF","SAV","HeatContent","LigninPercent","LeafAngle","LeafAngleSD","ClumpingIndex","gammaSWR","alphaSWR","kPAR","g","Tmax_LAI","Tmax_LAIsq","Psi_Extract","Exp_Extract","WUE","WUE_par","WUE_co2","WUE_vpd","Gswmin","Gswmax","Gsw_AC_slope","Gs_Toptim","Gs_Tsens","Gs_P50","Gs_slope","VCleaf_kmax","VCleaf_P12","VCleaf_P50","VCleaf_P88","VCleaf_slope","Kmax_stemxylem","VCstem_P12","VCstem_P50","VCstem_P88","VCstem_slope","Kmax_rootxylem","VCroot_P12","VCroot_P50","VCroot_P88","VCroot_slope","Vmax298","Jmax298","Nleaf","Nsapwood","Nfineroot","WoodC","RERleaf","RERsapwood","RERfineroot","CCleaf","CCsapwood","CCfineroot","RGRleafmax","RGRsapwoodmax","RGRcambiummax","RGRfinerootmax","SRsapwood","SRfineroot","RSSG","MortalityBaselineRate","SurvivalModelStep","SurvivalB0","SurvivalB1","SeedProductionHeight","SeedProductionDiameter","SeedMass","SeedLongevity","DispersalDistance","DispersalShape","ProbRecr","MinTempRecr","MinMoistureRecr","MinFPARRecr","RecrTreeDBH","RecrTreeHeight","RecrShrubHeight","RecrTreeDensity","RecrShrubCover","RecrZ50","RecrZ95","RespFire","RespDist","RespClip","IngrowthTreeDensity","IngrowthTreeDBH"
"Abies",0,"Abies",NA,"Abies","Pinaceae","Pinales","Gymnosperm","Tree","Phanerophyte","Needle","Small","oneflush-evergreen","wind",400,10000,200,NA,2997.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.36476,-0.763,-0.02285,7.4049e-05,-0.01018,-0.27004,1.09636482208082,0.538,NA,NA,8,72.9,455.4,1.08,NA,NA,NA,NA,NA,7.23404255319574,0.383,0.42,NA,0.9336,1.51353705706232,NA,2140.513,NA,0.2,2635.6451035,NA,186,81,-1.655,25.6,0.134,NA,NA,NA,NA,20596.22116,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0030446,0.1146,NA,NA,NA,-2,NA,NA,NA,-1.95,NA,NA,0.6,-3.1,-3.79,-4.164664746,67.6,NA,NA,-3.367455,NA,NA,32.47,99.758037275,13.7,3.5,6.07,0.5053,NA,NA,NA,1.804,NA,NA,NA,NA,NA,NA,NA,NA,0.95,NA,NA,NA,NA,NA,24.897902451352,30.1,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Abies alba",1,"Abies alba","Abies alba","Abies","Pinaceae","Pinales","Gymnosperm","Tree","Phanerophyte","Needle","Small","oneflush-evergreen","wind",5000,6800,380,NA,2506,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.065,1.56,NA,2.36476,-0.763,-0.02285,7.4049e-05,-0.01018,-0.27004,1.09636482208082,0.538,0.667239487171173,0.817502081394196,8.17182175398255,72.9,455.4,1.08,NA,NA,NA,NA,NA,7.28859649122807,0.41330791965,0.48,NA,0.9299,1.51353705706232,NA,17003.4013605442,NA,NA,2212,NA,NA,NA,-1.2,NA,NA,NA,NA,NA,NA,18943,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0015,0.1146,NA,NA,NA,-2,NA,NA,NA,NA,NA,NA,1.299505,-3.02,-3.79,-4.4,58.8,NA,NA,NA,NA,NA,NA,NA,12.85,NA,10.835,0.4975,NA,NA,NA,1.804,NA,NA,NA,NA,NA,NA,NA,NA,0.95,NA,NA,NA,NA,NA,17.3426573426573,46.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Abies bornmuelleriana",2,"Abies nordmanniana  subsp. equi-trojani","Abies nordmanniana","Abies","Pinaceae","Pinales","Gymnosperm","Tree","Phanerophyte","Needle","Small","oneflush-evergreen","wind",5000,7000,NA,NA,2997.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Abies cephalonica",3,"Abies cephalonica","Abies cephalonica","Abies","Pinaceae","Pinales","Gymnosperm","Tree","Phanerophyte","Needle","Small","oneflush-evergreen","wind",2500,4000,NA,NA,2997.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.53092569285,0.364,NA,NA,NA,NA,NA,NA,NA,0.225,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20694.98448,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Abies concolor",4,"Abies concolor","Abies concolor","Abies","Pinaceae","Pinales","Gymnosperm","Tree","Phanerophyte","Needle","Small","oneflush-evergreen","wind",5000,6000,271,NA,1016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.8153655514,0.2407445941,0.3986,NA,0.9052,NA,NA,NA,NA,0.21,2853.269199,NA,149,86,NA,NA,NA,NA,NA,NA,NA,17788.10864,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.95,NA,NA,0.8768685,-3.249,-4.51,-5.8255,39.997670365,NA,NA,-3.4,NA,NA,NA,NA,12.806333335,NA,16,0.5071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.95,NA,NA,NA,NA,NA,26.8979104477612,32.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Abies grandis",5,"Abies grandis","Abies grandis","Abies","Pinaceae","Pinales","Gymnosperm","Tree","Phanerophyte","Needle","Small","oneflush-evergreen","wind",1294,10000,200,NA,1475.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.009117,2.18045,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,11.92,0.3455,0.445649444882929,NA,0.94125,NA,NA,NA,NA,NA,NA,NA,314.2,103,-2.11,25.6,0.134,NA,NA,NA,NA,21045.89656,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.24,-3.65,-4.067738939,91.2,NA,NA,NA,NA,NA,NA,NA,12.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.95,NA,NA,NA,NA,NA,36.5230326295585,20,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Abies nordmanniana",6,"Abies nordmanniana","Abies nordmanniana","Abies","Pinaceae","Pinales","Gymnosperm","Tree","Phanerophyte","Needle","Small","oneflush-evergreen","wind",5000,7000,NA,NA,2997.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.41037100642627,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.95,NA,NA,NA,NA,NA,NA,63.8862492957746,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Abies pinsapo",7,"Abies pinsapo","Abies pinsapo","Abies","Pinaceae","Pinales","Gymnosperm","Tree","Phanerophyte","Needle","Small","oneflush-evergreen","wind",2500,6000,150,NA,2997.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.984063745,NA,0.41,NA,NA,NA,NA,NA,NA,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.59,-4.15,-4.7121938585,67.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.8869016307207,55.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Abies procera",8,"Abies procera","Abies procera","Abies","Pinaceae","Pinales","Gymnosperm","Tree","Phanerophyte","Needle","Small","oneflush-evergreen","wind",7000,8700,NA,NA,508,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.007652,2.1683,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.19,0.4745,0.385,NA,0.934,NA,NA,NA,NA,0.175,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.35,NA,17,0.491,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7575,NA,NA,NA,NA,NA,NA,33.4995,0.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Acacia",9,"Acacia",NA,"Acacia","Fabaceae","Fabales","Angiosperm","Shrub","Phanerophyte","Broad","Medium","oneflush-evergreen","vertebrate",200,4500,NA,NA,6962.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.64382222557473,NA,NA,NA,NA,NA,NA,NA,NA,6.2607652894,0.444444444459852,0.605361,NA,0.755,NA,NA,2969,NA,0.4,4220.5,NA,163.205475913729,30.454064,-2.48,14.72,NA,NA,NA,NA,NA,20104.99864,NA,41.186,24.5315471813107,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0042,NA,NA,NA,NA,NA,NA,NA,NA,-4.605,NA,NA,1.529170991,-4.78,-3.84,-5.825,64.40677966,NA,NA,NA,NA,NA,71.7980645541544,120.343844265669,21.14,5.7882,31.76,0.4377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.9,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
